Nombre_Producto,Precio_Original,Precio_Rebaja
Pantalla Vios 50 plg 4K UHD LED Smart TV,"$ 10,299.00","$ 6,490.00"
Pantalla Vios 65 plg UHD 4K LED Smart TV,"$ 16,999.00","$ 11,490.00"
Pantalla Samsung 58 Pulg 4K UHD LED Smart TV,"$ 18,290.00","$ 12,490.00"
Pantalla Samsung 50 Pulg 4K UHD LED Smart TV,"$ 14,999.00","$ 10,690.00"
Pantalla Samsung 55 Pulg 4K UHD LED Smart TV,"$ 17,790.00","$ 11,790.00"
Pantalla LG 49 Pulg 4K UHD Ai ThinkQ,"$ 15,990.00","$ 10,890.00"
Pantalla LG 49 Pulg NanoCell Ai ThinkQ 4K UHD,"$ 20,990.00","$ 12,890.00"
Pantalla LG 55 Pulg 4K UHD AI ThinQ,"$ 19,490.00","$ 13,990.00"
Pantalla LG 60 Pulg 4K UHD AI ThinQ,"$ 22,990.00","$ 13,990.00"
Pantalla TCL 32 Pulg HD LED Smart TV,"$ 6,199.00","$ 4,190.00"
Pantalla TCL 40 Pulg FHD LED Smart TV,"$ 8,599.00","$ 5,990.00"
Pantalla TCL 50 Pulg 4k UHD LED Roku TV,"$ 11,799.00","$ 7,990.00"
Pantalla TCL 55 Pulg 4k UHD LED Roku TV,"$ 13,299.00","$ 9,490.00"
Pantalla Vios 55 plg 4K UHD LED Smart TV,"$ 11,999.00","$ 8,090.00"
Pantalla Vios 32 plg HD LED Smart TV,"$ 5,299.00","$ 3,190.00"
Pantalla Vios 58 plg 4K UHD LED Smart TV,"$ 14,490.00","$ 8,490.00"
Pantalla Samsung 75 Pulg 4K UHD LED Smart TV,"$ 38,590.00","$ 23,990.00"
Pantalla LG 75 Pulg 4K UHD AI ThinQ,"$ 49,990.00","$ 24,990.00"
Pantalla Samsung 75 plg 4K UHD LED Smart TV,"$ 44,290.00","$ 22,990.00"
Pantalla Samsung 65 Pulg 4K UHD LED Smart TV,"$ 23,790.00","$ 16,990.00"
Soporte Fijo Peerless 32 plg a 46 plg,$ 489.00,NA
Soporte para Pantallas de 10 a 23 pulg Steren STV-021 Negro,$ 249.00,NA
Soporte Fijo Peerless 32 plg a 46 plg,$ 339.00,NA
Cable Coaxial Con Conectores de Rosca Steren 205-035 Negro,$ 199.00,NA
Cable de Audio y Video Macho a Macho Steren 206-843 Negro,$ 389.00,NA
Control remoto Universal Steren,$ 139.00,NA
Cable de audio/video Steren,$ 49.00,NA
Cable HDMI Monster 6 plg 122932 ultra velocidad,$ 399.00,NA
Antena Aérea Para Exterior Sanelec 4180,$ 229.00,$ 183.20
Cable HDMI Monster 4 plg 122931 ultra velocidad,$ 319.00,NA
Antena HDTV Cuadrada Steren ANT-1828 Blanco,$ 349.00,NA
Smart TV Box UHD 4K Ghia,$ 999.00,NA
Roku Premiere Dispositivo Streaming,"$ 1,499.00",NA
Bocina Inteligente Google Home Mini Gris,"$ 1,649.00",$ 849.00
Bocina Inteligente Google Home Mini Negro,"$ 1,649.00",$ 849.00
Google Chromecast Video 3er Generación color Negro,"$ 1,149.00",$ 859.00
Samsung bocina Soundbar 2.1 Ch K450,"$ 7,399.00","$ 4,439.40"
Tornamesa de 2 velocidades Select Sound BT8000,"$ 2,199.00","$ 1,539.30"
Tornamesa Audio Technica Estéreo ATLP60USB USB,"$ 4,209.00",NA
Sistema de audio Bluetooth Sony MHC-M20D,"$ 7,199.00",NA
Bocina Braven bluetooth blanco,"$ 2,149.00",NA
Bocina Braven bluetooth amarillo,"$ 2,149.00",NA
Bocina Monster Portátil Inalámbrica 129263 Negro,"$ 1,599.00",NA
Bocina Monster Portátil Inalámbrica 129260 Gris,"$ 1,599.00",NA
Bocina Radio Retro Bluetooth Steren BOC-078BT Café,$ 899.00,NA
Bocina para Plafón Steren CSL-206 Blanco,$ 219.00,NA
Bocina Pioneer monitor activo compacto,"$ 4,999.00",NA
Bocina BT Inalámbrica Billboard BB-S49883 Negro,$ 699.00,NA
Bocina STF Boom Inalámbrica Con Microfono Negro,$ 549.00,NA
Bafle de 8 plg Recargable,"$ 1,249.00",$ 749.40
Bafle Bluetooth con Amplificador Negro,$ 999.00,$ 599.40
Barra de Sonido Select Sound BT3280 Bluetooth Negro,"$ 1,199.00",$ 839.30
Bocina Billboard Blast 15 pulg Bluetooth Inalámbrico Negro,"$ 2,399.00",NA
Mini Bocina STF Pocket Bluetooth Negro,$ 199.00,NA
Torre de Audio Billboard Obelisk Bluetooth Inalámbrico Negro,"$ 1,099.00",NA
Bocina Portátil STF Loud Bluetooth Inalámbrico Verde,$ 299.00,NA
Bocina BT con Cargador Inalámbrico STF ST-S49999 Negro,$ 699.00,NA
Bocina Billboard Allure Energy Inalámbrica Negro,$ 549.00,NA
Bocina Portátil STF Loud Bluetooth Inalámbrico Morado,$ 299.00,NA
Bocina BT Inalámbrica Billboard BB-S32132 Negro,$ 399.00,NA
Audífonos con Diadema Bluetooth Steren AUD-517 Azul,$ 259.00,NA
Audífonos Beyerdynamic Custom One Pro Plus Cerrado Blanco,"$ 5,179.00",NA
Audífonos Beyerdynamic Aventho Wired On-Ear Negro,"$ 9,089.00",NA
Audífonos Beyerdynamic Inalámbricos Aventho On-Ear Negro,"$ 12,989.00",NA
Audífonos Beyerdynamic Aventho Wired On-Ear Café,"$ 9,089.00",NA
Audífonos de Estudio AKG K702 Abierto Negro,"$ 6,599.00",NA
Audífonos Beyerdynamic Inalámbricos Aventho On-Ear Café,"$ 12,989.00",NA
Auriculares Audio Technica Inalámbricos ATH-SPORT50BTBK Negro,"$ 2,039.00",NA
Audífonos Audio Technica Profesionales ATH-M50XPB Morado,"$ 5,299.00",NA
Disco Volador Musical Steren KID-FRZ Verde,$ 349.00,NA
"Audífono Over Ear con Micrófono, Cable Antienredos y Estuche Billboard BB-H86942 Negro",$ 399.00,NA
"Audífono Over Ear con Micrófono, Cable Antienredos y Estuche Billboard BB-H86959 Rojo",$ 399.00,NA
Audífonos RedLemon Bluetooth TWS 79009A Azul,$ 849.00,NA
Audífonos RedLemon Bluetooth TWS 79009V Verde,$ 849.00,NA
Audífonos Duplimax Hip Hop Manos Libres Negro,$ 79.00,NA
Audífonos Pioneer SE-MJ532-K Negro,$ 699.00,NA
Audífonos Yurbuds Negro Inspire,$ 949.00,$ 474.50
Audífonos Yurbuds Inspire Rojo,$ 699.00,$ 419.40
Audífonos Yurbuds Negro Focus,$ 699.00,$ 559.20
Audífonos Molami Negro Stitch,"$ 1,299.00",$ 909.30
Autoestéreo Pioneer AVH-185DVD,"$ 4,999.00",NA
Autoestéreo Pioneer MVH-X195UI,"$ 1,599.00",NA
Paquete Pioneer DEH-X4850BT/1605,"$ 3,599.00",NA
Autoestéreo Pioneer MVH-X185UI,"$ 1,499.00",NA
Autoestéreo Pioneer AVH-285BT,"$ 5,599.00",NA
Autoestéreo con Bocinas Pioneer X395BT/1615X395BT/1615,"$ 2,649.00",NA
Autoestéreo con Cámara de reversa Pioneer X2850BT/ND-BC8,"$ 9,449.00",NA
Autoestéreo con Bocinas Pioneer X3950BT/1615,"$ 2,999.00",NA
Autoestéreo Pioneer manos libres con pantalla táctil,"$ 6,999.00",NA
Autoestéreo Pioneer AVH-X8850BT,"$ 18,999.00",NA
Reproductor Pioneer DEH-X2850UI,"$ 1,899.00",NA
Mini Transmisor de Audio Mikels MTA 88 Blanco,$ 459.00,NA
iPod Touch 32GB  6ta Generación Plateado Apple,"$ 5,499.00",NA
iPod Touch 32GB Gris Apple,"$ 5,499.00",NA
Bocina Braven bluetooth blanco,"$ 2,149.00",NA
Bocina Braven bluetooth amarillo,"$ 2,149.00",NA
Bocina Monster Portátil Inalámbrica 129263 Negro,"$ 1,599.00",NA
Bocina Monster Portátil Inalámbrica 129260 Gris,"$ 1,599.00",NA
iPod Touch 32GB 6ta Generación Azul Apple,"$ 5,499.00",NA
Alarma Personal Steren ALA-039 Morada,$ 179.00,NA
Bocina Bose Sound Link Color Bluetooth,"$ 2,999.00",NA
Bocina Bose Sound Link Color Bluetooth,"$ 2,999.00",NA
Afinador de guitarra de alta precisión Korg color negro,$ 259.00,NA
Guitarra Eléctrica Babilon BEG-462 IV Crema,"$ 2,529.00",NA
Kit Guitarra Eléctrica Babilon BEG-GUITAR KIT Negro,"$ 4,459.00",NA
Funda transportadora para guitarra eléctrica Prolok color negro con rojo,"$ 1,079.00",NA
Funda transportadora para bajo eléctrico Prolok color negro con rojo,"$ 1,079.00",NA
Guitarra Eléctrica Babilon color rojo metálico con cuerpo de tilo Americano y brazo de arce,"$ 2,529.00",NA
Guitarra Eléctrica Babilon azul metálico,"$ 2,529.00",NA
Guitarra Eléctrica Babilon EARTHQUAKE-BK  Negra,"$ 5,299.00",NA
Ukelele Babilon HUALALAI de Madera de 21 pulg Negra,"$ 1,229.00",NA
Guitarra Acústica tipo Valenciana Babilon ASTURIA-CDN Negra,"$ 3,459.00",NA
Guitarra Acústica Status SGC-25 WR Vino,"$ 1,489.00",NA
Guitarra Acústica  Status SGC-25 BK Negro,"$ 1,489.00",NA
Guitarra Acústica Status color SGC-25 LB Marrón Claro,"$ 1,489.00",NA
Amplificador de Teclado VOX de 50 WATTS con circuitos de nutube color blanco,"$ 7,699.00",NA
Combo Amplificador para Bajo Eléctrico Peavey de 100W RMS color negro,"$ 8,869.00",NA
Bafle Amplificado 15 Pulg Ghia-Titan Recargable/Bt/Usb/Sd/Mic/Cont.R./Luces Led/ Tripie Gsp-15,"$ 2,499.00","$ 1,499.40"
Bafle de Bluetooth Negro,"$ 1,399.00",NA
Bafle Amplificado de 15 pulg Fussion Acustic 6000w PBS 2715,"$ 5,099.00",NA
Bocina Fussion karaoke de 10 plg,"$ 2,149.00",NA
Kit Micrófono USB y Audífono DT 240 PRO Beyerdynamic CREATOR 24,"$ 7,929.00",NA
Micrófono Dinámico Unidireccional Audio Technica ATR1100X Negro,$ 589.00,NA
Micrófono Dinámico Audio Technica ATM650 Negro,"$ 2,339.00",NA
Micrófono Dinamico Vocal con interruptor Samson SCR21S negro,$ 459.00,NA
Micrófono Dinámico Unidireccional Steren MIC-701 Negro,$ 219.00,NA
"Micrófono de Mano IK Multimedia IRIG MIC  para dispositivos iPhone, iPod touch, iPad y Android  Negro","$ 1,499.00",NA
Micrófono Steren MIC-060 Negro,$ 149.00,NA
Stand para Micrófono base redonda Ultimate Serie C3 CS-MCRB1 Negro,$ 499.00,NA
Soporte para Guitarra Ultimate Serie Génesis GS-1000 PRO Negro,"$ 1,189.00",NA
Stand Profesional con Boom para Micrófono Ultimate MC-125 Negro,"$ 6,149.00",NA
Stand para Micrófono de base redonda Ultimate Serie JAMSTANDS JS-MCRB100 Negro,$ 839.00,NA
Stand para Partitura Ultimate Serie C3 CS-MS1 Negro,$ 649.00,NA
Stand para Micrófono con Boom y base redonda corta Ultimate TOUR-RB-SHORT-T Negro,"$ 1,859.00",NA
Aguja Cónica Audio Technica AT3600L Blanca,$ 689.00,NA
Tornamesa Manual Audio Technica AT-LP7 Negro,"$ 25,989.00",NA
Tornamesa Profesional Audio-Technica AT-LP1240-USB XP Negra,"$ 13,899.00",NA
Funda para Guitarra Eléctrica Gator serie Cobra G-COBRA-ELEC Negra,"$ 1,709.00",NA
Estuche Deluxe para Guitarra Eléctrica GC-ELECTRIC-A  Negra,"$ 3,089.00",NA
Estuche Rígido para Guitarra estilo Jaguar GWE-JAG  de Madera  Negra,"$ 3,059.00",NA
Set de Fundas para Batería 5 piezas Gator GP-STANDAR-100 Negra,"$ 3,999.00",NA
Mezcladora Klingt KMSD-2U de 2 Canales USB Negra,"$ 8,949.00",NA
Mezcladora para DJ  Klingt KDM-200U con 2 Canales USB Negro,"$ 1,599.00",NA
Bolsa para transportar sistemas inalámbricos Gator GM-1W Negra,"$ 1,429.00",NA
Interface de Audio para DJ Portátil Numark DJ IO2 Blanco,"$ 3,189.00",NA
Funda para Teclado de 61 teclas Prolock LH-K10-61 Negro,$ 709.00,NA
Pedal MultiDelay para guitarra VOX  DelayLab Negro,"$ 6,259.00",NA
Controlador para DJ portátil Pioneer con audífonos,"$ 5,999.00",NA
Contratiempos de 14 pulgadas serie Contact Dream,"$ 4,859.00",NA
Platillo Ride 20 pulgadas Serie Contact Dream,"$ 4,739.00",NA
Platillo Crash 14 pulg Serie ZBT Zildjian,"$ 2,079.00",NA
Platillo Crash 16 pulg Serie ZBT Zildjian,"$ 2,669.00",NA
HiHat 13 pulg Serie ZBT Zildjian (Par),"$ 3,499.00",NA
Guantes para baterista Zildjian talla mediana,"$ 1,029.00",NA
Guantes para baterista Zildjian talla chica,$ 999.00,NA
Paquete de Platillos Serie ZBT Starter Zildjian ZBTS3P-9,"$ 6,979.00",NA
Platillo Crash 19 pulg Serie ZBT Zildjian,"$ 3,369.00",NA
Paquete de platillos Serie Planet Z Zildjian 4 piezas PLZ4PK,"$ 5,579.00",NA
Platillo Crash 18 pulg Serie ZBT Zildjian,"$ 3,089.00",NA
Platillo Ride 22 pulg Serie ZBT Zildjian,"$ 4,339.00",NA
Crema limpiadora para platillos Zildjian,$ 309.00,NA
Platillo de Efectos 10 pulg Trashformer Zildjian,"$ 2,139.00",NA
Platillo Splash 8 Serie ZBT Zildjian,"$ 1,299.00",NA
Paquete de platillos Serie Planet Z Zildjian 3 piezas PLZ1418,"$ 4,099.00",NA
HiHat 14 pulg Serie ZBT Zildjian (Par),"$ 4,139.00",NA
Funda Zildjian para platillos de 22 pulg Travis Barker Boombox negro,"$ 2,139.00",NA
Baquetero de material sintético Zildjian color negro,$ 739.00,NA
Timbales 14 y 15 pulg Shell Gold Latin Percussion ,"$ 17,999.00",NA
Consola XBOX ONE S 1 TB Reacondicionada,"$ 6,999.00",NA
Consola  Xbox One S 1TB Blanca + PES 2019 Pro Evolution Soccer,"$ 7,499.00","$ 6,374.15"
Consola Xbox One S 500GB + Assassin's Creed Origins,"$ 6,999.00",NA
Consola Xbox One S 500GB + Game Pass 3M + Live Gold 3M,"$ 6,999.00",NA
Consola Xbox One S 500GB + Minecraft + Live Gold 3M,"$ 6,999.00",NA
Consola Xbox One S 500GB + FIFA 17 (Descargable),"$ 6,999.00",NA
Consola Xbox One S 1TB Blanco + Battlefield V Deluxe + Xbox Games Pass,"$ 7,499.00",NA
Consola Xbox One S 1TB Blanco + Tom Clancy´s The Division 2,"$ 7,499.00",NA
Consola Xbox One S 1 TB + Anthem: Legion of the Dawn,"$ 7,499.00",NA
Consola Xbox One S 500 GB Forza Horizon 3 Descargable,"$ 6,999.00",NA
Consola Xbox One X 1TB Reacondicionada Negra + GOW 4,"$ 9,999.00",NA
Consola XBOX ONE S All Digital 1 TB  Reacondicionada,"$ 5,999.00",NA
Consola Xbox One S 1TB Reacondicionada + Membresía Live Gold 3 Meses Blanca,"$ 6,599.00",NA
Madden NFL 19 Xbox One,$ 999.00,NA
FIFA 19 Xbox One,$ 999.00,$ 399.60
Gears of War 4 Xbox One,$ 719.00,$ 503.30
Playerunknowns Battlegrounds Xbox One,$ 719.00,$ 503.30
Fallout 76 Xbox One,"$ 1,259.00",$ 629.50
Tom Clancy´s The Division 2 Xbox One,$ 899.00,NA
Dirt Rally 2.0 Day One Edition Xbox One,"$ 1,399.00",NA
Tom Clancy´s The Division 2 Gold Edition Xbox One,"$ 1,299.00",NA
Mortal Kombat 11 Xbox One,"$ 1,199.00",NA
Crackdown 3 Xbox One,$ 799.00,NA
Super Luckys Tale Xbox One,$ 499.00,NA
FIFA 20 EA Xbox One,"$ 1,399.00",NA
Madden NFL 20 EA Xbox One,"$ 1,399.00",NA
Videojuego Call Of Duty World War II Activision Xbox One,"$ 1,299.00",$ 649.50
Metal Gear Survive Xbox One,$ 999.00,$ 299.70
Metro Exodus Xbox One,"$ 1,399.00",NA
Kingdom Hearts 3 Xbox One,"$ 1,399.00",NA
Destiny 2 Activision Xbox One Standard Edition,"$ 1,299.00","$ 1,039.20"
ONE PIECE World Seeker Xbox One,"$ 1,049.00",NA
Playerunknown's Battlegrounds Xbox One,$ 799.00,$ 479.40
Xbox Live Gold Membresía de 3 Meses,$ 349.00,NA
Xbox Live Gold Membresía de 6 Meses,$ 599.00,NA
Control Xbox One Inalámbrico Blanco,"$ 1,399.00",NA
Tarjeta Xbox Live Gold 3 Meses,$ 329.00,NA
Xbox One Play & Charge Kit Batería Recargable para Control,$ 749.00,NA
